Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
76.02,22,46179.97,209.82,Business-Focused Value-Added Definition,West Guybury,0,Bouvet Island (Bouvetoya),27-01-2016 12:38,0
67.64,35,51473.28,267.01,Programmable Asymmetric Data-Warehouse,Phelpschester,1,Peru,02-07-2016 20:23,0
86.41,28,45593.93,207.48,Digitized Static Capability,Lake Melindamouth,1,Aruba,01-03-2016 22:13,0
59.05,57,25583.29,169.23,Digitized Global Capability,North Richardburgh,1,Maldives,15-07-2016 05:05,1
55.6,23,30227.98,212.58,Multi-Layered 4Thgeneration Knowledge User,Port Cassie,0,Senegal,14-01-2016 14:00,1
57.64,57,45580.92,133.81,Synchronized Dedicated Service-Desk,New Thomas,1,Dominica,15-03-2016 03:12,1
84.37,30,61389.5,201.58,Synchronized Systemic Hierarchy,Johnstad,0,Luxembourg,12-04-2016 03:26,0
62.26,53,56770.79,125.45,Profound Stable Product,West Aprilport,1,Montenegro,07-04-2016 15:18,1
65.82,39,76435.3,221.94,Reactive Demand-Driven Capacity,Kellytown,0,Ukraine,09-02-2016 05:28,0
50.43,46,57425.87,119.32,Persevering Needs-Based Open Architecture,Charlesport,1,Saint Helena,07-05-2016 17:11,1
38.93,39,27508.41,162.08,Intuitive Exuding Service-Desk,Millerchester,0,Liberia,11-03-2016 06:49,1
84.98,29,57691.95,202.61,Innovative User-Facing Extranet,Mackenziemouth,0,Russian Federation,27-04-2016 09:27,0
64.24,30,59784.18,252.36,Front-Line Intermediate Database,Zacharystad,0,Tunisia,16-04-2016 11:53,0
82.52,32,66572.39,198.11,Persevering Exuding System Engine,North Joshua,1,Turkmenistan,08-05-2016 15:38,0
81.38,31,64929.61,212.3,Balanced Dynamic Application,Bowenview,0,Saint Helena,08-02-2016 00:23,0
80.47,25,57519.64,204.86,Reduced Global Support,Jamesberg,0,Niger,11-02-2016 13:26,0
37.68,52,53575.48,172.83,Organic Leadingedge Secured Line,Lake Cassandraport,1,Turkmenistan,17-02-2016 13:16,1
69.62,20,50983.75,202.25,Business-Focused Encompassing Neural-Net,New Sharon,1,Qatar,26-02-2016 22:46,0
85.4,43,67058.72,198.72,Triple-Buffered Demand-Driven Alliance,Johnport,0,Sri Lanka,08-06-2016 18:54,0
44.33,37,52723.34,123.72,Visionary Maximized Process Improvement,Hamiltonfort,1,Trinidad and Tobago,08-01-2016 09:32,1
48.01,46,54286.1,119.93,Centralized 24/7 Installation,West Christopher,0,Italy,25-04-2016 11:01,1
73.18,23,61526.25,196.71,Organized Static Focus Group,Hollandberg,1,British Virgin Islands,04-04-2016 07:07,0
79.94,28,58526.04,225.29,Visionary Reciprocal Circuit,Odomville,0,United Kingdom,03-05-2016 21:19,0
33.33,45,53350.11,193.58,Pre-Emptive Value-Added Workforce,East Samanthashire,1,Guinea-Bissau,17-01-2016 09:31,1
50.33,50,62657.53,133.2,Sharable Analyzing Alliance,South Lauraton,1,Micronesia,02-03-2016 04:57,1
62.31,47,62722.57,119.3,Team-Oriented Encompassing Portal,Amandahaven,0,Turkey,14-02-2016 07:36,1
80.6,31,67479.62,177.55,Sharable Bottom-Line Solution,Thomasview,0,Croatia,07-04-2016 03:56,0
65.19,36,75254.88,150.61,Cross-Group Regional Website,Garciaside,0,Israel,17-02-2016 11:42,1
44.98,49,52336.64,129.31,Organized Global Model,Port Sarahshire,0,Svalbard & Jan Mayen Islands,10-04-2016 00:13,1
77.63,29,56113.37,239.22,Upgradable Asynchronous Circuit,Port Gregory,0,Azerbaijan,14-02-2016 17:05,0
41.82,41,24852.9,156.36,Phased Transitional Instruction Set,Brendachester,0,Iran,26-05-2016 22:49,1
85.61,27,47708.42,183.43,Customer-Focused Empowering Ability,Lake Amy,0,Burundi,30-04-2016 08:07,0
85.84,34,64654.66,192.93,Front-Line Heuristic Data-Warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,15-06-2016 05:30,0
72.08,29,71228.44,169.5,Stand-Alone National Attitude,Smithburgh,0,Burundi,09-03-2016 14:45,0
86.06,32,61601.05,178.92,Focused Upward-Trending Core,North Leonmouth,1,Bulgaria,31-03-2016 20:55,0
45.96,45,66281.46,141.22,Streamlined Cohesive Conglomeration,Robertfurt,0,Christmas Island,03-06-2016 00:55,1
62.42,29,73910.9,198.5,Upgradable Optimizing Toolset,Jasminefort,1,Canada,10-03-2016 23:36,0
63.89,40,51317.33,105.22,Synchronized User-Facing Core,Jensenborough,0,Rwanda,08-01-2016 00:17,1
35.33,32,51510.18,200.22,Organized Client-Driven Alliance,Bradleyburgh,0,Turks and Caicos Islands,05-06-2016 22:11,1
75.74,25,61005.87,215.25,Ergonomic Multi-State Structure,New Sheila,1,Tunisia,16-01-2016 11:35,0
78.53,34,32536.98,131.72,Synergized Multimedia Emulation,North Regina,0,Norfolk Island,22-04-2016 20:10,1
46.13,31,60248.97,139.01,Customer-Focused Optimizing Moderator,Davidmouth,0,Bouvet Island (Bouvetoya),01-02-2016 09:00,1
69.01,46,74543.81,222.63,Advanced Full-Range Migration,New Michaeltown,0,Turks and Caicos Islands,07-07-2016 13:37,0
55.35,39,75509.61,153.17,De-Engineered Object-Oriented Protocol,East Tammie,1,Cook Islands,08-03-2016 00:37,1
33.21,43,42650.32,167.07,Polarized Clear-Thinking Budgetary Management,Wilcoxport,1,Turkey,10-05-2016 17:39,1
38.46,42,58183.04,145.98,Customizable 6Thgeneration Knowledge User,East Michaelmouth,1,Guatemala,06-04-2016 11:24,1
64.1,22,60465.72,215.93,Seamless Object-Oriented Structure,East Tiffanyport,0,Cote d'Ivoire,01-04-2016 16:21,0
49.81,35,57009.76,120.06,Seamless Real-Time Array,Ramirezhaven,1,Faroe Islands,05-01-2016 04:18,1
82.73,33,54541.56,238.99,Grass-Roots Impactful System Engine,Cranemouth,1,Qatar,20-05-2016 21:31,0
56.14,38,32689.04,113.53,Devolved Tangible Approach,Lake Edward,1,Ireland,03-02-2016 07:59,1
55.13,45,55605.92,111.71,Customizable Executive Software,Lake Conniefurt,0,Ukraine,17-02-2016 21:55,1
78.11,27,63296.87,209.25,Progressive Analyzing Attitude,East Shawnchester,1,Moldova,30-01-2016 16:10,0
73.46,28,65653.47,222.75,Innovative Executive Encoding,West Joseph,1,Nicaragua,15-05-2016 14:41,0
56.64,38,61652.53,115.91,Down-Sized Uniform Info-Mediaries,Lake Christopherfurt,0,Montserrat,05-01-2016 17:56,1
68.94,54,30726.26,138.71,Streamlined Next Generation Implementation,East Tylershire,0,Timor-Leste,19-04-2016 07:34,1
70.79,31,74535.94,184.1,Distributed Tertiary System Engine,Sharpberg,0,Bouvet Island (Bouvetoya),15-03-2016 15:49,0
57.76,41,47861.93,105.15,Triple-Buffered Scalable Groupware,Lake Dustin,0,Puerto Rico,12-06-2016 15:25,1
77.51,36,73600.28,200.55,Total 5Thgeneration Encoding,North Kristine,0,Central African Republic,01-07-2016 04:41,0
52.7,34,58543.94,118.6,Integrated Human-Resource Encoding,Grahamberg,1,Venezuela,08-05-2016 12:12,1
57.7,34,42696.67,109.07,Phased Dynamic Customer Loyalty,New Tina,0,Australia,14-03-2016 23:13,1
56.89,37,37334.78,109.29,Open-Source Coherent Policy,Nelsonfurt,1,Wallis and Futuna,25-05-2016 00:19,1
69.9,43,71392.53,138.35,Down-Sized Modular Intranet,Christopherport,0,Jersey,13-05-2016 11:51,1
55.79,24,59550.05,149.67,Pre-Emptive Content-Based Focus Group,Port Sarahhaven,0,Puerto Rico,20-02-2016 20:47,1
70.03,26,64264.25,227.72,Versatile 4Thgeneration System Engine,Bradleyborough,1,Samoa,22-05-2016 20:49,0
50.08,40,64147.86,125.85,Ergonomic Full-Range Time-Frame,Whiteport,1,Greece,10-04-2016 02:02,1
43.67,31,25686.34,166.29,Automated Directional Function,New Theresa,1,Antarctica (the territory South of 60 deg S),28-02-2016 06:41,1
72.84,26,52968.22,238.63,Progressive Empowering Alliance,Wongland,0,Albania,08-07-2016 21:18,0
45.72,36,22473.08,154.02,Versatile Homogeneous Capacity,Williammouth,1,Hong Kong,19-04-2016 15:14,1
39.94,41,64927.19,156.3,Function-Based Optimizing Protocol,Williamsborough,0,Lithuania,08-01-2016 22:47,1
35.61,46,51868.85,158.22,Up-Sized Secondary Software,North Michael,0,Egypt,28-03-2016 08:46,1
79.71,34,69456.83,211.65,Seamless Holistic Time-Frame,Benjaminchester,1,Bangladesh,02-07-2016 14:57,0
41.49,53,31947.65,169.18,Persevering Reciprocal Firmware,Hernandezville,0,Western Sahara,03-07-2016 09:22,1
63.6,23,51864.77,235.28,Centralized Logistical Secured Line,Youngburgh,1,Serbia,01-06-2016 09:27,0
89.91,40,59593.56,194.23,Innovative Background Conglomeration,Wallacechester,0,Maldives,09-07-2016 14:55,0
68.18,21,48376.14,218.17,Switchable 3Rdgeneration Hub,Sanchezmouth,1,Czech Republic,09-02-2016 22:04,0
66.49,20,56884.74,202.16,Polarized 6Thgeneration Info-Mediaries,Bradshawborough,0,Guernsey,10-06-2016 11:31,0
80.49,40,67186.54,229.12,Balanced Heuristic Approach,Amyhaven,1,Tanzania,14-02-2016 03:50,0
72.23,25,46557.92,241.03,Focused 24Hour Implementation,Marcushaven,1,Bhutan,05-07-2016 17:17,0
42.39,42,66541.05,150.99,De-Engineered Mobile Infrastructure,Erinton,0,Christmas Island,28-04-2016 05:50,1
47.53,30,33258.09,135.18,Customer-Focused Upward-Trending Contingency,Hughesport,0,Guinea,03-04-2016 05:10,1
74.02,32,72272.9,210.54,Operative System-Worthy Protocol,Johnstad,0,Micronesia,09-03-2016 14:57,0
66.63,60,60333.38,176.98,User-Friendly Upward-Trending Intranet,New Lucasburgh,0,Madagascar,16-01-2016 23:37,1
63.24,53,65229.13,235.78,Future-Proofed Holistic Superstructure,Michelleside,1,Lebanon,03-07-2016 04:33,1
71,22,56067.38,211.87,Extended Systemic Policy,Andersonton,0,Eritrea,14-03-2016 06:46,0
46.13,46,37838.72,123.64,Horizontal Hybrid Challenge,New Rachel,1,Guyana,09-01-2016 05:44,1
69,32,72683.35,221.21,Virtual Composite Model,Port Susan,1,Trinidad and Tobago,11-02-2016 04:37,0
76.99,31,56729.78,244.34,Switchable Mobile Framework,West Angelabury,1,Jersey,22-06-2016 07:33,0
72.6,55,66815.54,162.95,Focused Intangible Moderator,Port Christopherborough,0,United Arab Emirates,13-07-2016 16:12,1
61.88,42,60223.52,112.19,Balanced Actuating Moderator,Phillipsbury,1,Martinique,23-07-2016 11:46,1
84.45,50,29727.79,207.18,Customer-Focused Transitional Strategy,Millerside,0,Somalia,13-07-2016 04:10,1
88.97,45,49269.98,152.49,Advanced Web-Enabled Standardization,Lake Jessica,0,Bhutan,11-06-2016 18:32,1
86.19,31,57669.41,210.26,Pre-Emptive Executive Knowledgebase,Lopezmouth,1,Greece,08-05-2016 12:51,0
49.58,26,56791.75,231.94,Self-Enabling Holistic Process Improvement,Johnsport,0,Benin,07-04-2016 16:02,0
77.65,27,63274.88,212.79,Horizontal Client-Driven Hierarchy,South Ronald,0,Papua New Guinea,04-02-2016 13:30,0
37.75,36,35466.8,225.24,Polarized Dynamic Throughput,South Daniel,0,Uzbekistan,26-02-2016 19:48,1
62.33,43,68787.09,127.11,Devolved Zero Administration Intranet,Suzannetown,0,South Africa,21-06-2016 13:15,1
79.57,31,61227.59,230.93,User-Friendly Asymmetric Info-Mediaries,Lisaberg,0,Egypt,17-05-2016 04:27,0
80.31,44,56366.88,127.07,Cross-Platform Regional Task-Force,Brianfurt,0,Hungary,18-04-2016 15:54,1
89.05,45,57868.44,206.98,Polarized Bandwidth-Monitored Moratorium,Stewartbury,0,Falkland Islands (Malvinas),03-04-2016 10:07,0
70.41,27,66618.21,223.03,Centralized Systematic Knowledgebase,Benjaminchester,0,Dominica,04-04-2016 21:30,0
67.36,37,73104.47,233.56,Future-Proofed Grid-Enabled Implementation,North Wesleychester,0,Jersey,06-07-2016 16:00,0
46.98,50,21644.91,175.37,Down-Sized Well-Modulated Archive,East Michelleberg,0,Lithuania,04-05-2016 09:00,1
41.67,36,53817.02,132.55,Realigned Zero Tolerance Emulation,Port Eric,0,Saint Martin,13-06-2016 18:50,1
51.24,36,76368.31,176.73,Versatile Transitional Monitoring,Timothyfurt,0,Cuba,03-01-2016 16:01,1
75.7,29,67633.44,215.44,Profound Zero Administration Instruction Set,Port Jeffrey,0,United States Minor Outlying Islands,14-01-2016 00:23,0
43.49,47,50335.46,127.83,User-Centric Intangible Task-Force,Guzmanland,0,Belize,12-01-2016 10:07,1
49.89,39,17709.98,160.03,Enhanced System-Worthy Application,East Michele,1,Belize,16-04-2016 12:09,1
38.37,36,41229.16,140.46,Multi-Layered User-Facing Paradigm,East John,0,Antarctica (the territory South of 60 deg S),13-05-2016 06:09,1
38.52,38,42581.23,137.28,Customer-Focused 24/7 Concept,Lesliebury,1,Saint Vincent and the Grenadines,27-03-2016 23:59,1
71.89,23,61617.98,172.81,Function-Based Transitional Complexity,Patriciahaven,1,Kuwait,03-02-2016 23:47,0
75.8,38,70575.6,146.19,Progressive Clear-Thinking Open Architecture,Ashleychester,1,Thailand,18-04-2016 11:23,0
83.86,31,64122.36,190.25,Up-Sized Executive Moderator,Lake Josetown,0,Gibraltar,05-02-2016 19:06,0
37.51,30,52097.32,163,Re-Contextualized Optimal Service-Desk,Debraburgh,1,Holy See (Vatican City State),21-03-2016 18:46,1
55.6,44,65953.76,124.38,Fully-Configurable Neutral Open System,New Debbiestad,1,Korea,14-06-2016 11:59,1
83.67,44,60192.72,234.26,Upgradable System-Worthy Array,West Shaun,1,Saint Helena,06-02-2016 23:08,0
69.08,41,77460.07,210.6,Ergonomic Client-Driven Application,Kimberlyhaven,0,Turks and Caicos Islands,12-03-2016 01:39,0
37.47,44,45716.48,141.89,Realigned Content-Based Leverage,Port Lawrence,1,Czech Republic,26-01-2016 03:56,1
56.04,49,65120.86,128.95,Decentralized Real-Time Circuit,West Ricardo,1,Netherlands,07-02-2016 08:02,1
70.92,41,49995.63,108.16,Polarized Modular Function,Lake Jose,1,Belarus,05-05-2016 07:58,1
49.78,46,71718.51,152.24,Enterprise-Wide Client-Driven Contingency,Heatherberg,0,Dominica,29-06-2016 02:43,1
68.61,57,61770.34,150.29,Diverse Modular Interface,South George,0,South Africa,10-04-2016 19:48,1
58.18,25,69112.84,176.28,Polarized Analyzing Concept,Tinachester,1,New Zealand,10-02-2016 06:37,0
78.54,35,72524.86,172.1,Multi-Channeled Asynchronous Open System,Port Jodi,0,Togo,28-05-2016 20:41,0
37,48,36782.38,158.22,Function-Based Context-Sensitive Secured Line,Jonathantown,1,Kenya,24-03-2016 06:36,1
65.4,33,66699.12,247.31,Adaptive 24Hour Graphic Interface,Sylviaview,0,Palau,12-02-2016 22:51,0
79.52,27,64287.78,183.48,Automated Coherent Flexibility,East Timothyport,1,Timor-Leste,10-06-2016 10:11,0
87.98,38,56637.59,222.11,Focused Scalable Complexity,West Roytown,1,Cambodia,31-03-2016 10:44,0
44.64,36,55787.58,127.01,Up-Sized Incremental Encryption,Codyburgh,0,Belize,14-02-2016 06:51,1
41.73,28,61142.33,202.18,Sharable Dedicated Graphic Interface,Port Erikhaven,1,Cuba,07-01-2016 19:16,1
80.46,27,61625.87,207.96,Digitized Zero Administration Paradigm,Port Chasemouth,1,Costa Rica,04-02-2016 02:13,0
75.55,36,73234.87,159.24,Managed Grid-Enabled Standardization,Ramirezside,0,Liechtenstein,09-05-2016 02:58,1
76.32,35,74166.24,195.31,Networked Foreground Definition,East Michaeltown,1,Korea,23-06-2016 00:16,0
82.68,33,62669.59,222.77,Re-Engineered Exuding Frame,West Courtney,1,Ukraine,20-06-2016 09:35,0
72.01,31,57756.89,251,Horizontal Multi-State Interface,West Michaelhaven,0,Angola,29-02-2016 12:31,0
75.83,24,58019.64,162.44,Diverse Stable Circuit,Walshhaven,0,Nauru,17-01-2016 15:10,0
41.28,50,50960.08,140.39,Universal 24/7 Implementation,East Rachelview,0,Equatorial Guinea,29-01-2016 03:54,1
34.66,32,48246.6,194.83,Customer-Focused Multi-Tasking Internet Solution,Curtisport,0,Mongolia,14-07-2016 12:07,1
66.18,55,28271.84,143.42,Vision-Oriented Contextually-Based Extranet,Frankbury,0,Svalbard & Jan Mayen Islands,10-01-2016 23:14,1
86.06,31,53767.12,219.72,Extended Local Methodology,Timothytown,1,Timor-Leste,28-04-2016 18:34,0
59.59,42,43662.1,104.78,Re-Engineered Demand-Driven Capacity,Samanthaland,1,Brazil,06-07-2016 18:36,1
86.69,34,62238.58,198.56,Customer-Focused Attitude-Oriented Instruction Set,South Jennifer,0,Chad,27-05-2016 06:19,0
43.77,52,49030.03,138.55,Synergized Hybrid Time-Frame,Kyleborough,1,Portugal,25-01-2016 07:39,1
71.84,47,76003.47,199.79,Advanced Exuding Conglomeration,North Randy,1,Malawi,08-05-2016 22:47,0
80.23,31,68094.85,196.23,Secured Clear-Thinking Middleware,South Daniellefort,0,Qatar,19-03-2016 14:23,0
74.41,26,64395.85,163.05,Right-Sized Value-Added Initiative,Dianashire,0,Singapore,23-07-2016 04:37,0
63.36,48,70053.27,137.43,Centralized Tertiary Pricing Structure,East Eric,0,Guinea,23-06-2016 01:22,1
71.74,35,72423.97,227.56,Multi-Channeled Reciprocal Artificial Intelligence,Hammondport,0,Kazakhstan,19-07-2016 18:06,0
60.72,44,42995.8,105.69,Synergized Context-Sensitive Database,Jacobstad,0,Kuwait,28-02-2016 18:52,1
72.04,22,60309.58,199.43,Realigned Systematic Function,Hernandezfort,0,Rwanda,10-02-2016 06:52,0
44.57,31,38349.78,133.17,Adaptive Context-Sensitive Application,Joneston,1,China,27-03-2016 09:11,1
85.86,34,63115.34,208.23,Networked High-Level Structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),23-05-2016 02:15,0
39.85,38,31343.39,145.96,Profit-Focused Dedicated Utilization,East Stephen,0,Vietnam,03-01-2016 03:22,1
84.53,27,40763.13,168.34,Stand-Alone Tangible Moderator,Turnerchester,0,Guatemala,04-01-2016 21:48,1
62.95,60,36752.24,157.04,Polarized Tangible Collaboration,Youngfort,0,Peru,24-05-2016 13:30,1
67.58,41,65044.59,255.61,Focused High-Level Conglomeration,Ingramberg,1,Mayotte,01-02-2016 19:42,0
85.56,29,53673.08,210.46,Advanced Modular Local Area Network,South Denisefurt,0,Samoa,05-06-2016 13:16,0
46.88,54,43444.86,136.64,Virtual Scalable Secured Line,Port Melissaberg,0,Singapore,04-02-2016 08:53,1
46.31,57,44248.52,153.98,Front-Line Fault-Tolerant Intranet,Bernardton,1,Jamaica,24-03-2016 13:37,1
77.95,31,62572.88,233.65,Inverse Asymmetric Instruction Set,Port Mathew,1,Bahamas,02-06-2016 21:02,0
84.73,30,39840.55,153.76,Synchronized Leadingedge Help-Desk,Aliciatown,0,Canada,21-02-2016 07:42,1
39.86,36,32593.59,145.85,Total 5Thgeneration Standardization,Josephstad,0,Algeria,26-06-2016 17:16,1
50.08,30,41629.86,123.91,Sharable Grid-Enabled Matrix,West Ericfurt,0,Fiji,03-01-2016 05:34,1
60.23,35,43313.73,106.86,Balanced Asynchronous Hierarchy,New Brendafurt,0,Kenya,08-03-2016 18:00,1
60.7,49,42993.48,110.57,Monitored Object-Oriented Graphic Interface,Port Julie,1,Argentina,19-06-2016 03:19,1
43.67,53,46004.31,143.79,Cloned Analyzing Artificial Intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),21-07-2016 21:16,1
77.2,33,49325.48,254.05,Persistent Homogeneous Framework,North Elizabeth,1,Philippines,12-02-2016 20:36,0
71.86,32,51633.34,116.53,Face-To-Face Even-Keeled Website,Kentmouth,0,Senegal,17-05-2016 06:14,1
44.78,45,63363.04,137.24,Extended Context-Sensitive Monitoring,West Casey,1,Suriname,09-07-2016 11:04,1
78.57,36,64045.93,239.32,Exclusive Client-Driven Model,East Henry,1,Liberia,27-03-2016 02:35,0
73.41,31,73049.3,201.26,Profound Executive Flexibility,Hollyfurt,1,Guam,16-01-2016 08:01,0
77.05,27,66624.6,191.14,Reduced Bi-Directional Strategy,North Anna,0,United Arab Emirates,21-01-2016 23:48,0
66.4,40,77567.85,214.42,Digitized Heuristic Solution,Port Destiny,0,Antigua and Barbuda,05-06-2016 00:29,0
69.35,29,53431.35,252.77,Seamless 4Thgeneration Contingency,Ianmouth,1,Argentina,13-02-2016 15:37,0
35.65,40,31265.75,172.58,Seamless Intangible Secured Line,North Johntown,1,Georgia,10-05-2016 07:22,1
70.04,31,74780.74,183.85,Intuitive Radical Forecast,Hannahside,1,Jordan,27-03-2016 03:59,0
69.78,29,70410.11,218.79,Multi-Layered Non-Volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,24-05-2016 18:35,0
58.22,29,37345.24,120.9,User-Friendly Client-Server Instruction Set,North Russellborough,0,South Africa,11-02-2016 02:40,1
76.9,28,66107.84,212.67,Synchronized Multimedia Model,Murphymouth,0,Croatia,22-04-2016 08:31,0
84.08,30,62336.39,187.36,Face-To-Face Intermediate Approach,Carterburgh,1,Fiji,13-01-2016 02:58,0
59.51,58,39132.64,140.83,Assimilated Fault-Tolerant Hub,Penatown,0,Australia,16-06-2016 02:01,1
40.15,38,38745.29,134.88,Exclusive Disintermediate Task-Force,Joechester,1,Sao Tome and Principe,27-06-2016 18:37,1
76.81,28,65172.22,217.85,Managed Zero Tolerance Concept,East Paul,1,Fiji,03-07-2016 12:57,0
41.89,38,68519.96,163.38,Compatible Systemic Function,Hartmanchester,0,Cyprus,03-02-2016 04:21,1
76.87,27,54774.77,235.35,Configurable Fault-Tolerant Monitoring,Mcdonaldfort,1,Kyrgyz Republic,29-05-2016 21:17,0
67.28,43,76246.96,155.8,Future-Proofed Coherent Hardware,North Mercedes,1,Pakistan,03-04-2016 21:13,1
81.98,40,65461.92,229.22,Ameliorated Upward-Trending Definition,Taylorberg,0,Seychelles,15-04-2016 11:51,0
66.01,23,34127.21,151.95,Front-Line Tangible Alliance,Hansenmouth,0,Samoa,21-06-2016 03:14,1
61.57,53,35253.98,125.94,Progressive 24Hour Forecast,Bradyfurt,1,Bulgaria,14-03-2016 14:13,1
53.3,34,44893.71,111.94,Self-Enabling Optimal Initiative,West Jessicahaven,0,Mauritania,06-05-2016 21:07,1
34.87,40,59621.02,200.23,Configurable Logistical Graphical User Interface,Davilachester,0,Czech Republic,12-06-2016 17:52,1
43.6,38,20856.54,170.49,Virtual Bandwidth-Monitored Initiative,North Ricardotown,0,Chile,11-01-2016 07:36,1
77.88,37,55353.41,254.57,Multi-Tiered Human-Resource Structure,Melissafurt,0,Poland,02-07-2016 00:24,0
75.83,27,67516.07,200.59,Managed Upward-Trending Instruction Set,East Brianberg,0,Estonia,04-03-2016 10:13,0
49.95,39,68737.75,136.59,Cloned Object-Oriented Benchmark,Millerbury,0,Turkmenistan,24-03-2016 09:12,1
60.94,41,76893.84,154.97,Fundamental Fault-Tolerant Neural-Net,Garciaview,0,Latvia,14-02-2016 07:30,1
89.15,42,59886.58,171.07,Phased Zero Administration Success,Townsendfurt,0,Fiji,25-04-2016 07:30,0
78.7,30,53441.69,133.99,Compatible Intangible Customer Loyalty,Williamstad,0,Turkey,10-02-2016 19:20,1
57.35,29,41356.31,119.84,Distributed 3Rdgeneration Definition,West Connor,0,Kazakhstan,23-04-2016 14:34,1
34.86,38,49942.66,154.75,Pre-Emptive Cohesive Budgetary Management,West Justin,0,Bahrain,18-06-2016 17:56,1
70.68,31,74430.08,199.08,Configurable Multi-State Utilization,Robertbury,0,Colombia,17-07-2016 01:58,0
76.06,23,58633.63,201.04,Diverse Multi-Tasking Parallelism,New Tinamouth,0,Brunei Darussalam,27-04-2016 04:28,0
66.67,33,72707.87,228.03,Horizontal Content-Based Synergy,Turnerview,1,Taiwan,21-04-2016 20:29,0
46.77,32,31092.93,136.4,Multi-Tiered Maximized Archive,Reneechester,1,Serbia,23-03-2016 06:00,1
62.42,38,74445.18,143.94,Diverse Executive Groupware,West Tinashire,0,Saint Pierre and Miquelon,19-07-2016 07:59,1
78.32,28,49309.14,239.52,Synergized Cohesive Array,Jamesfurt,0,Australia,26-06-2016 11:52,1
37.32,50,56735.14,199.25,Versatile Dedicated Software,New Nancy,1,Chad,30-03-2016 23:40,1
